ticker,slot,entry_date,exit_date,entry_price,exit_price,shares,pnl_€,ret_%,hold_d,earned_mode,earned_date,pyramid_count,max_unreal_%,exit_reason,is_rotation,exhausted,exhaust_date,exhaust_stop_days,setup
CAT,2,2020-12-07,2020-12-31,163.34,163.21,26,-43.3,-1.01,17,False,,0,0.75,Rotation,True,False,,0,A
FCX,2,2020-12-31,2021-01-27,24.73,24.29,174,-117.8,-2.72,17,True,2021-01-05,0,20.49,ATR,False,False,,0,A
ON,1,2020-11-10,2021-01-28,27.5,35.35,168,1278.8,27.56,53,True,2020-11-27,0,40.07,ATR,False,False,,0,A
CPB,1,2021-01-28,2021-01-29,42.74,40.14,118,-346.48,-6.84,1,False,,0,0.0,ATR,False,False,,0,A
MSFT,2,2021-01-27,2021-02-05,227.85,231.9,18,32.89,0.8,7,False,,0,2.1,Rotation,True,False,,0,A
ABT,1,2021-01-29,2021-02-09,109.07,113.22,44,142.78,2.96,7,False,,0,3.53,Rotation,True,False,,0,A
DIS,1,2021-02-09,2021-03-29,183.84,180.98,26,-114.43,-2.38,33,True,2021-02-24,0,7.3,ATR,False,False,,0,A
EWL,1,2021-04-09,2021-04-14,41.64,41.7,117,-33.64,-0.69,3,False,,0,0.5,Rotation,True,False,,0,A
EWQ,1,2021-04-14,2021-04-15,31.13,31.29,156,-14.64,-0.3,1,False,,0,0.05,Rotation,True,False,,0,A
WFC,1,2021-04-15,2021-06-11,37.46,40.28,130,327.63,6.7,40,True,2021-04-19,0,14.02,ATR,False,False,,0,A
HCA,2,2021-02-05,2021-06-21,171.6,194.96,28,614.1,12.73,93,True,2021-03-09,0,20.6,ATR,False,False,,0,A
LQD,2,2021-06-21,2021-06-25,111.08,111.16,48,-36.41,-0.68,4,False,,0,0.06,Rotation,True,False,,0,A
SPGI,2,2021-06-25,2021-07-13,394.91,394.87,13,-40.62,-0.79,11,False,,0,2.03,Rotation,True,False,,0,A
ADBE,1,2021-06-11,2021-09-21,529.75,646.88,9,1014.17,21.18,70,True,2021-06-14,0,25.83,ATR,False,False,,0,A
ALB,2,2021-07-13,2021-09-21,175.62,206.9,30,898.24,16.98,49,True,2021-07-21,0,31.27,ATR,False,False,,0,A
BKNG,2,2021-09-23,2021-09-24,94.66,96.3,66,68.15,1.09,1,False,,0,2.69,Rotation,True,False,,0,A
COP,1,2021-09-23,2021-11-22,52.87,59.5,118,742.58,11.86,42,True,2021-09-27,0,23.74,ATR,False,False,,0,A
CRM,2,2021-09-24,2021-11-24,274.47,281.9,22,123.48,2.04,43,True,2021-10-14,0,11.3,ATR,False,False,,0,A
ADBE,1,2021-11-22,2021-11-24,696.28,655.83,9,-404.05,-6.43,2,False,,0,0.0,ATR,False,False,,0,A
SJM,2,2021-11-24,2021-11-30,115.86,111.03,56,-310.67,-4.77,3,False,,0,0.0,Rotation,True,False,,0,A
ABBV,1,2021-11-24,2021-12-01,100.69,98.23,64,-197.47,-3.05,4,False,,0,0.0,ATR,False,False,,0,A
TLT,1,2021-12-02,2021-12-06,131.17,132.13,47,5.15,0.08,2,False,,0,0.93,Rotation,True,False,,0,A
NEE,2,2021-11-30,2022-01-07,78.47,76.44,80,-202.56,-3.22,27,True,2021-12-08,0,6.03,ATR,False,False,,0,A
MRVL,1,2021-12-06,2022-01-10,82.07,79.77,76,-214.93,-3.43,24,True,2021-12-07,0,9.58,ATR,False,False,,0,A
VFH,1,2022-01-10,2022-01-19,93.31,90.89,64,-194.56,-3.25,6,False,,0,0.14,ATR,False,False,,0,A
ABBV,1,2022-01-19,2022-01-24,116.93,113.86,50,-193.87,-3.3,3,False,,0,0.0,ATR,False,False,,0,A
MET,2,2022-01-07,2022-01-28,58.65,57.27,104,-183.49,-3.0,14,False,,0,2.44,Rotation,True,False,,0,A
MDLZ,1,2022-01-24,2022-01-31,61.28,59.19,92,-233.12,-4.12,5,False,,0,0.0,ATR,False,False,,0,A
VRTX,1,2022-01-31,2022-02-15,240.87,231.88,23,-246.77,-4.44,11,True,2022-02-02,0,5.27,ATR,False,False,,0,A
BMY,1,2022-02-16,2022-02-18,56.79,56.47,94,-70.72,-1.32,2,False,,0,0.0,Rotation,True,False,,0,A
CVS,2,2022-01-28,2022-02-23,91.95,88.38,62,-261.25,-4.57,17,False,,0,3.89,ATR,False,False,,0,A
NEM,1,2022-02-18,2022-03-01,59.58,59.17,89,-76.97,-1.45,6,False,,0,1.25,Rotation,True,False,,0,A
DVN,1,2022-03-01,2022-03-15,48.92,41.85,109,-810.71,-15.15,10,False,,0,0.95,ATR,False,False,,0,A
CVX,2,2022-02-28,2022-04-25,118.59,132.61,45,590.73,11.03,39,True,2022-03-01,0,24.86,ATR,False,False,,0,A
REGN,1,2022-03-15,2022-04-25,655.83,680.11,6,105.66,2.67,28,True,2022-03-21,0,11.9,ATR,False,False,,0,A
XOM,2,2022-05-05,2022-05-10,80.2,74.62,65,-402.49,-7.69,3,False,,0,0.0,ATR,False,False,,0,A
CPB,1,2022-04-29,2022-05-19,41.14,39.22,128,-285.53,-5.4,14,True,2022-05-06,0,6.97,ATR,False,False,,0,A
MCD,2,2022-07-27,2022-07-28,234.71,237.47,21,17.81,0.36,1,False,,0,1.21,Rotation,True,False,,0,A
TMUS,2,2022-07-28,2022-09-08,136.01,140.19,36,110.57,2.25,29,False,,0,3.97,Rotation,True,False,,0,A
GIS,1,2022-06-30,2022-09-14,63.38,63.92,78,2.0,0.04,52,True,2022-08-09,0,6.77,ATR,False,False,,0,A
ENPH,2,2022-09-08,2022-09-23,315.0,279.03,15,-579.55,-12.21,11,False,,0,1.78,ATR,False,False,,0,A
GIS,1,2022-09-22,2022-10-03,69.17,66.47,72,-234.39,-4.69,7,False,,0,0.74,ATR,False,False,,0,A
VRTX,1,2022-10-25,2022-10-28,312.0,302.0,14,-180.0,-4.1,3,False,,0,0.0,ATR,False,False,,0,A
TMUS,1,2022-10-31,2022-12-01,144.22,146.4,31,27.36,0.61,22,False,,0,1.52,Rotation,True,False,,0,A
GIS,1,2022-12-01,2023-01-09,74.04,74.51,61,-11.45,-0.25,25,False,,0,2.71,Rotation,True,False,,0,A
LLY,2,2022-09-29,2023-01-10,324.68,340.24,13,162.26,3.83,70,True,2022-10-26,0,12.53,ATR,False,False,,0,A
SYK,2,2023-01-10,2023-01-31,252.84,241.3,18,-247.68,-5.42,14,False,,0,1.08,ATR,False,False,,0,A
SBUX,1,2023-01-09,2023-02-06,98.41,96.09,45,-144.77,-3.25,19,True,2023-02-01,0,3.26,ATR,False,False,,0,A
FTV,1,2023-02-06,2023-02-07,50.94,51.04,86,-31.05,-0.71,1,False,,0,0.58,Rotation,True,False,,0,A
AME,1,2023-02-07,2023-02-08,142.73,143.47,30,-17.97,-0.42,1,False,,0,0.64,Rotation,True,False,,0,A
ITW,2,2023-02-01,2023-02-22,218.72,217.08,20,-72.81,-1.66,14,True,2023-02-02,0,6.16,ATR,False,False,,0,A
DD,1,2023-02-08,2023-02-22,30.28,28.66,144,-274.4,-6.26,9,False,,0,0.0,ATR,False,False,,0,A
CRM,2,2023-03-03,2023-03-09,185.35,180.45,22,-147.76,-3.61,4,False,,0,0.0,Rotation,True,False,,0,A
LIN,1,2023-02-27,2023-03-10,331.81,331.76,12,-40.69,-1.02,9,False,,0,4.66,Rotation,True,False,,0,A
ANET,2,2023-03-09,2023-04-21,37.2,38.86,111,144.26,3.48,30,True,2023-03-16,0,13.85,ATR,False,False,,0,A
CL,2,2023-04-21,2023-04-24,71.9,71.53,58,-61.61,-1.47,1,False,,0,0.0,Rotation,True,False,,0,A
GE,1,2023-03-10,2023-04-27,72.19,76.22,56,185.24,4.56,33,True,2023-04-03,0,8.98,ATR,False,False,,0,A
PG,2,2023-04-24,2023-04-28,144.68,145.67,28,-12.33,-0.3,4,False,,0,0.81,Rotation,True,False,,0,A
MSFT,1,2023-04-27,2023-07-27,289.12,333.33,14,578.9,14.23,62,True,2023-05-05,0,21.73,ATR,False,False,,0,A
GOOGL,1,2023-07-27,2023-07-28,130.59,129.71,34,-70.01,-1.57,1,False,,0,0.0,Rotation,True,False,,0,A
ANSS,1,2023-07-28,2023-08-14,69.19,63.42,64,-409.65,-9.21,11,False,,0,1.54,ATR,False,False,,0,A
META,2,2023-04-28,2023-08-17,237.15,290.77,17,871.53,21.51,76,True,2023-05-22,0,36.18,ATR,False,False,,0,A
OXY,1,2023-08-14,2023-08-17,62.44,60.34,68,-182.51,-4.28,3,False,,0,0.0,Rotation,True,False,,0,A
PGR,1,2023-08-17,2023-08-21,124.85,122.6,36,-120.99,-2.68,2,False,,0,0.0,Rotation,True,False,,0,A
ROST,1,2023-08-21,2023-08-30,115.31,117.64,38,48.65,1.11,7,False,,0,2.75,Rotation,True,False,,0,A
TJX,2,2023-08-17,2023-09-22,86.21,86.26,54,-37.39,-0.8,25,True,2023-08-30,0,5.09,ATR,False,False,,0,A
GOOG,1,2023-08-30,2023-09-27,134.47,128.39,33,-240.64,-5.4,19,False,,0,2.52,ATR,False,False,,0,A
XOM,1,2023-09-28,2023-10-05,110.17,100.82,40,-413.89,-9.35,5,False,,0,0.0,ATR,False,False,,0,A
GD,2,2023-10-10,2023-10-11,228.51,225.0,18,-103.24,-2.5,1,False,,0,0.0,Rotation,True,False,,0,A
CDNS,2,2023-10-11,2023-10-25,250.32,237.04,16,-252.48,-6.27,10,False,,0,1.06,ATR,False,False,,0,A
AIG,2,2023-11-03,2023-12-01,60.66,62.24,64,61.3,1.57,19,False,,0,2.83,Rotation,True,False,,0,A
PSX,2,2023-12-01,2024-01-11,118.95,120.28,33,3.99,0.1,27,True,2023-12-20,0,5.64,ATR,False,False,,0,A
CRWD,1,2023-10-09,2024-02-22,176.5,304.93,24,3042.32,71.48,93,True,2023-10-11,0,89.55,ATR,False,False,,0,A
CTRA,1,2024-02-22,2024-02-23,23.96,24.43,234,68.62,1.22,1,False,,0,2.01,Rotation,True,False,,0,A
AVGO,1,2024-02-23,2024-03-12,127.67,127.54,44,-45.88,-0.81,12,True,2024-03-01,0,7.54,ATR,False,False,,0,A
XLB,1,2024-03-12,2024-03-15,43.31,43.22,130,-51.22,-0.91,3,False,,0,0.99,Rotation,True,False,,0,A
MSFT,1,2024-03-15,2024-03-18,412.95,407.99,13,-104.53,-1.94,1,False,,0,0.0,Rotation,True,False,,0,A
ISRG,2,2024-01-11,2024-04-16,364.45,376.63,10,81.8,2.23,65,True,2024-01-24,0,9.92,ATR,False,False,,0,A
PSX,1,2024-03-18,2024-04-16,148.62,149.93,37,8.3,0.15,20,True,2024-04-02,0,8.34,ATR,False,False,,0,A
ELV,1,2024-04-19,2024-04-25,514.15,516.34,10,-18.09,-0.35,4,False,,0,0.2,Rotation,True,False,,0,A
AXP,2,2024-04-22,2024-06-10,227.06,226.98,24,-41.88,-0.77,34,True,2024-05-10,0,4.76,ATR,False,False,,0,A
BSX,1,2024-04-25,2024-07-19,73.13,76.9,76,246.52,4.42,58,True,2024-05-20,0,6.85,ATR,False,False,,0,A
ALL,1,2024-07-19,2024-07-22,171.64,169.67,33,-105.08,-1.85,1,False,,0,0.0,Rotation,True,False,,0,A
AAPL,2,2024-06-12,2024-07-25,205.78,217.25,27,269.72,4.84,29,True,2024-06-12,0,13.24,ATR,False,False,,0,A
ISRG,1,2024-07-22,2024-07-26,462.33,438.6,12,-324.76,-5.83,4,False,,0,0.0,ATR,False,False,,0,A
RTX,1,2024-07-26,2024-09-09,110.32,116.44,51,272.04,4.82,30,True,2024-08-15,0,8.81,ATR,False,False,,0,A
ABBV,2,2024-07-26,2024-10-18,173.01,179.64,32,172.13,3.1,59,True,2024-08-02,0,8.67,ATR,False,False,,0,A
TRV,2,2024-10-18,2024-10-23,262.77,252.71,22,-261.23,-4.5,3,False,,0,0.0,Rotation,True,False,,0,A
PM,2,2024-10-23,2024-11-07,123.07,119.8,46,-190.26,-3.35,11,False,,0,2.17,ATR,False,False,,0,A
ORCL,2,2024-11-07,2024-12-11,178.2,175.17,30,-130.93,-2.44,23,True,2024-11-08,0,6.27,ATR,False,False,,0,A
T,1,2024-09-09,2024-12-19,19.37,21.07,296,463.18,8.05,72,True,2024-09-09,0,15.39,ATR,False,False,,0,A
BLK,2,2024-12-12,2024-12-19,1040.94,1013.97,5,-174.82,-3.35,5,False,,0,0.0,ATR,False,False,,0,A
EBAY,2,2025-01-10,2025-01-15,67.45,63.64,84,-359.94,-6.33,3,False,,0,0.0,ATR,False,False,,0,A
ISRG,2,2025-01-16,2025-02-26,582.6,570.85,9,-145.75,-2.77,27,True,2025-01-22,0,4.78,ATR,False,False,,0,A
PXD,2,2025-02-26,2025-03-03,52.04,52.07,102,-37.15,-0.7,3,False,,0,0.14,Rotation,True,False,,0,A
RL,1,2025-01-07,2025-03-05,240.06,249.47,23,176.54,3.19,38,True,2025-01-23,0,17.63,ATR,False,False,,0,A
EWL,1,2025-03-05,2025-03-06,51.9,51.5,106,-82.65,-1.5,1,False,,0,0.0,Rotation,True,False,,0,A
V,2,2025-03-03,2025-03-07,360.3,338.34,14,-347.52,-6.86,4,False,,0,0.0,ATR,False,False,,0,A
FAST,2,2025-03-07,2025-03-14,37.93,36.43,135,-241.64,-4.7,5,True,2025-03-10,0,3.27,ATR,False,False,,0,A
EWG,1,2025-03-06,2025-04-01,38.01,36.62,143,-238.33,-4.37,18,False,,0,1.73,ATR,False,False,,0,A
GLD,2,2025-03-14,2025-04-07,276.27,278.86,17,4.03,0.09,16,True,2025-03-28,0,4.3,ATR,False,False,,0,A
TLT,2,2025-04-07,2025-04-09,87.89,83.48,57,-291.36,-5.79,2,False,,0,0.0,ATR,False,False,,0,A
EXC,1,2025-04-01,2025-04-10,44.19,42.81,114,-197.42,-3.9,7,True,2025-04-03,0,3.21,ATR,False,False,,0,A
GLD,1,2025-04-11,2025-05-15,297.96,294.1,16,-101.76,-2.13,23,True,2025-04-16,0,5.92,ATR,False,False,,0,A
HYG,2,2025-05-13,2025-05-21,75.28,74.99,63,-57.92,-1.22,6,False,,0,0.11,Rotation,True,False,,0,A
D,2,2025-05-21,2025-06-02,55.12,54.52,85,-91.03,-1.93,7,False,,0,0.0,Rotation,True,False,,0,A
CME,2,2025-06-02,2025-06-05,277.48,267.64,16,-197.49,-4.43,3,False,,0,0.91,ATR,False,False,,0,A
MNST,1,2025-05-19,2025-07-10,62.85,59.57,75,-286.0,-6.04,35,False,,0,2.21,ATR,False,False,,0,A
SLV,1,2025-07-14,2025-07-28,35.22,34.65,126,-111.82,-2.51,10,False,,0,1.42,Rotation,True,False,,0,A
EWY,2,2025-06-05,2025-08-04,63.89,70.79,69,435.76,9.84,40,True,2025-06-12,0,13.07,ATR,False,False,,0,A
NEM,1,2025-07-28,2025-10-22,64.29,82.68,67,1192.4,27.56,61,True,2025-08-07,0,52.11,ATR,False,False,,0,A
K,1,2025-10-22,2025-10-27,70.38,68.82,73,-153.75,-2.98,3,False,,0,0.0,Rotation,True,False,,0,A
GD,1,2025-10-27,2025-10-29,350.71,342.27,14,-158.25,-3.21,2,False,,0,0.0,Rotation,True,False,,0,A
MPWR,2,2025-08-04,2025-11-05,787.12,957.5,5,811.92,20.53,66,True,2025-08-13,0,39.87,ATR,False,False,,0,A
CTRA,2,2025-11-05,2025-11-06,25.4,25.6,214,4.24,0.08,1,False,,0,0.0,Rotation,True,False,,0,A
NVDA,1,2025-10-29,2025-11-07,207.96,184.88,24,-593.86,-11.85,7,False,,0,0.0,ATR,False,False,,0,A
MAR,1,2025-11-10,2025-11-18,290.87,282.01,17,-190.65,-3.84,6,False,,0,0.0,Rotation,True,False,,0,A
AMGN,2,2025-11-06,2025-12-10,314.66,314.07,17,-49.96,-0.93,23,True,2025-11-11,0,9.03,ATR,False,False,,0,A
EWL,2,2025-12-11,2025-12-16,58.47,59.29,86,30.52,0.6,3,False,,0,1.01,Rotation,True,False,,0,A
HOLX,2,2025-12-16,2025-12-19,75.06,75.0,67,-44.02,-0.87,3,False,,0,0.0,Rotation,True,False,,0,A
JNJ,1,2025-11-18,2026-01-06,196.71,203.52,24,123.43,2.6,32,True,2025-11-21,0,8.3,ATR,False,False,,0,A
AMAT,1,2026-01-06,2026-02-05,285.07,299.7,17,208.57,4.29,21,True,2026-01-09,0,19.59,ATR,False,False,,0,A
UPS,1,2026-02-05,2026-02-06,114.4,114.7,45,-26.69,-0.52,1,False,,0,0.47,Rotation,True,False,,0,A
FDX,2,2025-12-19,2026-03-09,270.96,351.61,18,1411.67,28.83,52,True,2025-12-19,0,42.79,ATR,False,False,,0,A
TPR,1,2026-02-06,2026-03-13,145.04,143.54,35,-92.54,-1.82,24,True,2026-02-09,0,10.36,ATR,False,False,,0,A
CVX,2,2026-03-13,2026-04-02,196.0,202.51,29,148.79,2.61,14,True,2026-03-20,0,7.73,ATR,False,False,,0,A
DVN,1,2026-03-13,2026-04-13,45.52,48.33,128,319.68,5.47,20,True,2026-03-19,0,14.39,ATR,False,False,,0,A
NEE,1,2026-04-24,2026-04-27,97.24,94.83,62,-189.42,-3.13,1,False,,0,0.0,End,False,False,,0,A
TLT,1,2020-02-28,2020-03-11,128.91,138.28,38,316.0,6.42,8,True,2020-03-03,0,11.07,ATR,False,False,,0,B
IEF,2,2020-02-28,2020-03-11,100.76,103.8,49,108.84,2.2,8,True,2020-03-02,0,4.05,ATR,False,False,,0,B
ECL,2,2020-05-29,2020-06-12,198.25,195.62,26,-108.28,-2.09,10,True,2020-06-05,0,8.86,ATR,False,False,,0,B
LQD,2,2020-06-16,2020-06-22,109.28,108.55,46,-73.54,-1.46,4,False,,0,0.0,Rotation,True,False,,0,B
KEYS,1,2020-05-21,2020-07-08,102.4,100.42,50,-139.0,-2.7,32,False,,0,5.6,Rotation,True,False,,0,B
APD,1,2020-07-08,2020-07-09,231.66,235.68,21,44.37,0.91,1,False,,0,1.27,Rotation,True,False,,0,B
MRVL,1,2020-07-09,2020-07-24,36.96,33.98,136,-445.32,-8.82,11,False,,0,1.27,ATR,False,False,,0,B
HOLX,2,2020-06-22,2020-08-11,55.01,66.34,92,1002.36,19.73,35,True,2020-07-02,0,33.28,ATR,False,False,,0,B
NKE,2,2020-08-11,2020-08-12,98.43,97.39,54,-96.21,-1.8,1,False,,0,0.0,Rotation,True,False,,0,B
MPWR,1,2020-07-30,2020-09-08,250.77,236.03,18,-305.42,-6.74,27,True,2020-08-06,0,8.21,ATR,False,False,,0,B
ALB,2,2020-08-12,2020-09-24,87.06,75.08,60,-759.15,-14.48,30,True,2020-09-15,0,8.18,ATR,False,False,,0,B
NKE,2,2020-09-24,2020-10-23,116.73,120.02,39,88.18,1.93,21,False,,0,3.59,Rotation,True,False,,0,B
CAT,1,2020-09-10,2020-10-27,136.8,145.74,36,281.82,5.7,33,True,2020-10-12,0,11.61,SmartExh,False,True,2020-10-19,6,B
CL,1,2020-11-04,2020-11-05,73.19,74.42,67,42.36,0.86,1,False,,0,0.61,Rotation,True,False,,0,B
MPWR,1,2020-11-05,2020-11-10,328.95,302.33,15,-439.2,-8.87,3,False,,0,4.36,ATR,False,False,,0,B
ALGN,2,2020-10-23,2020-11-20,451.34,443.39,10,-119.5,-2.64,20,True,2020-11-05,0,8.99,ATR,False,False,,0,B
COST,2,2020-12-01,2020-12-07,363.31,353.64,12,-155.99,-3.56,4,False,,0,0.8,Rotation,True,False,,0,B
CAT,2,2020-12-07,2020-12-31,163.34,163.21,27,-43.42,-0.98,17,False,,0,0.75,Rotation,True,False,,0,B
FCX,2,2020-12-31,2021-01-22,24.73,27.31,179,421.89,9.49,14,True,2021-01-05,0,20.49,SmartExh,False,True,2021-01-08,9,B
ON,1,2020-11-10,2021-01-28,27.5,35.35,301,1009.35,10.5,53,True,2020-11-27,1,40.07,SmartExh,False,True,2021-01-04,17,B
CPB,1,2021-01-28,2021-01-29,42.74,40.14,123,-359.47,-6.81,1,False,,0,0.0,ATR,False,False,,0,B
AMZN,2,2021-02-03,2021-02-05,171.25,165.95,29,-193.71,-3.88,2,False,,0,0.0,Rotation,True,False,,0,B
ABT,1,2021-01-29,2021-02-09,109.07,113.22,46,151.09,3.0,7,False,,0,3.53,Rotation,True,False,,0,B
DIS,1,2021-02-09,2021-03-29,183.84,180.98,27,-117.29,-2.35,33,True,2021-02-24,0,7.3,ATR,False,False,,0,B
EWL,1,2021-04-09,2021-04-14,41.64,41.7,120,-33.48,-0.67,3,False,,0,0.5,Rotation,True,False,,0,B
EWQ,1,2021-04-14,2021-04-15,31.13,31.29,160,-13.99,-0.28,1,False,,0,0.05,Rotation,True,False,,0,B
WFC,1,2021-04-15,2021-06-11,37.46,40.28,133,336.11,6.72,40,True,2021-04-19,0,14.02,ATR,False,False,,0,B
HCA,2,2021-02-05,2021-06-21,171.6,194.96,29,637.46,12.76,93,True,2021-03-09,0,20.6,ATR,False,False,,0,B
LQD,2,2021-06-21,2021-06-25,111.08,111.16,49,-36.34,-0.67,4,False,,0,0.06,Rotation,True,False,,0,B
SPGI,2,2021-06-25,2021-07-13,394.91,394.87,13,-40.62,-0.79,11,False,,0,2.03,Rotation,True,False,,0,B
ALB,2,2021-07-13,2021-08-18,175.62,205.29,31,879.87,16.1,26,True,2021-07-21,0,28.58,SmartExh,False,True,2021-08-11,5,B
TJX,2,2021-08-19,2021-08-20,66.78,68.45,88,106.65,1.81,1,False,,0,3.17,Rotation,True,False,,0,B
SNPS,2,2021-08-20,2021-08-24,315.34,322.21,18,83.66,1.47,2,False,,0,1.77,Rotation,True,False,,0,B
ADBE,1,2021-06-11,2021-09-13,529.75,663.04,9,1159.61,24.22,64,True,2021-06-14,0,25.83,SmartExh,False,True,2021-06-23,56,B
AVGO,1,2021-09-16,2021-09-20,46.07,45.5,142,-120.28,-1.83,2,False,,0,0.43,Rotation,True,False,,0,B
NVDA,2,2021-08-24,2021-10-05,21.7,19.91,275,-533.73,-8.91,29,False,,0,5.03,ATR,False,False,,0,B
TMO,1,2021-09-20,2021-11-08,585.32,613.76,11,272.86,4.22,35,True,2021-10-27,0,8.38,SmartExh,False,True,2021-11-04,2,B
BKNG,1,2021-11-08,2021-11-12,104.41,98.0,61,-431.24,-6.75,4,False,,0,0.0,ATR,False,False,,0,B
FCX,1,2021-11-12,2021-11-17,38.13,37.16,161,-195.47,-3.17,3,False,,0,1.38,Rotation,True,False,,0,B
NFLX,2,2021-10-06,2021-12-01,62.82,64.95,96,164.48,2.72,39,True,2021-10-25,0,10.11,ATR,False,False,,0,B
TLT,2,2021-12-02,2021-12-06,131.17,132.13,46,4.19,0.07,2,False,,0,0.93,Rotation,True,False,,0,B
MRVL,2,2021-12-06,2021-12-15,82.07,83.96,74,99.63,1.64,7,True,2021-12-07,0,9.58,SmartExh,False,True,2021-12-08,5,B
XLU,2,2021-12-16,2021-12-22,30.82,30.47,201,-108.83,-1.75,4,False,,0,0.61,Rotation,True,False,,0,B
LOW,1,2021-11-17,2022-01-11,229.17,227.24,26,-90.29,-1.51,37,True,2021-12-09,0,4.54,ATR,False,False,,0,B
INDA,1,2022-01-12,2022-01-19,47.9,46.93,127,-163.33,-2.68,4,False,,0,0.33,Rotation,True,False,,0,B
MU,2,2021-12-22,2022-01-21,87.9,82.34,69,-423.46,-6.96,20,True,2022-01-05,0,8.29,ATR,False,False,,0,B
ABBV,1,2022-01-19,2022-01-24,116.93,113.86,50,-193.87,-3.3,3,False,,0,0.0,ATR,False,False,,0,B
LMT,2,2022-01-26,2022-01-28,346.6,347.59,16,-24.28,-0.44,2,False,,0,0.84,Rotation,True,False,,0,B
MDLZ,1,2022-01-24,2022-01-31,61.28,59.19,93,-235.21,-4.11,5,False,,0,0.0,ATR,False,False,,0,B
VRTX,1,2022-01-31,2022-02-15,240.87,231.88,23,-246.77,-4.44,11,True,2022-02-02,0,5.27,ATR,False,False,,0,B
BMY,1,2022-02-16,2022-02-18,56.79,56.47,93,-70.39,-1.33,2,False,,0,0.0,Rotation,True,False,,0,B
CVS,2,2022-01-28,2022-02-23,91.95,88.38,61,-257.68,-4.58,17,False,,0,3.89,ATR,False,False,,0,B
NEM,1,2022-02-18,2022-03-01,59.58,59.17,87,-76.14,-1.46,6,False,,0,1.25,Rotation,True,False,,0,B
DVN,1,2022-03-01,2022-03-15,48.92,41.85,107,-796.57,-15.16,10,False,,0,0.95,ATR,False,False,,0,B
CVX,2,2022-02-28,2022-03-16,118.59,135.22,44,691.37,13.2,12,True,2022-03-01,0,22.71,SmartExh,False,True,2022-03-09,5,B
AVB,2,2022-03-30,2022-04-18,221.5,213.56,23,-222.7,-4.35,12,False,,0,0.0,Rotation,True,False,,0,B
REGN,1,2022-03-15,2022-04-22,655.83,696.82,6,205.96,5.21,27,True,2022-03-21,0,11.9,SmartExh,False,True,2022-03-22,22,B
CPB,1,2022-04-29,2022-05-05,41.14,40.93,126,-65.9,-1.27,4,False,,0,0.0,Rotation,True,False,,0,B
XOM,1,2022-05-05,2022-05-10,80.2,74.62,64,-396.92,-7.7,3,False,,0,0.0,ATR,False,False,,0,B
DOW,2,2022-04-18,2022-05-11,52.15,52.88,97,30.3,0.6,17,True,2022-04-21,0,7.82,ATR,False,False,,0,B
MCD,2,2022-07-27,2022-07-28,234.71,237.47,21,17.81,0.36,1,False,,0,1.21,Rotation,True,False,,0,B
